,Network,maze_01.txt,maze_02.txt,maze_03.txt,maze_04.txt,maze_05.txt,maze_06.txt,maze_07.txt,maze_08.txt,maze_09.txt,maze_10.txt,maze_11.txt,maze_12.txt,maze_13.txt,maze_14.txt,maze_15.txt,maze_16.txt,maze_17.txt,maze_18.txt,maze_19.txt,maze_20.txt,std,mean,error
15,classification-resnet18-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,6.8181818181818175,97.72727272727273,25.0,13.461538461538462,98.4375,79.6875,11.842105263157894,97.91666666666666,7.5,6.25,7.352941176470589,73.21428571428571,97.5,12.5,98.21428571428571,41.83183125429462,60.405768111747214,18.333608388349
16,classification-resnet50-pretrained-0.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,29.6875,26.5625,59.210526315789465,27.083333333333332,62.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,78.57142857142857,25.714034469603504,79.6127690893558,11.269672493762013
17,classification-resnet50-pretrained-1.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,45.83333333333333,62.5,72.91666666666666,92.64705882352942,73.21428571428571,97.5,97.5,98.21428571428571,16.846712631178015,84.03762027983198,7.383397349580803
18,classification-resnet50-pretrained-2.pkl,97.22222222222221,98.33333333333333,98.33333333333333,90.38461538461539,97.72727272727273,97.72727272727273,77.27272727272727,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,22.414788472681103,84.55828007346972,9.823714182333951
19,classification-resnet50-pretrained-3.pkl,97.22222222222221,98.33333333333333,81.66666666666667,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,61.36363636363637,71.15384615384616,62.5,96.875,59.210526315789465,45.83333333333333,62.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,78.57142857142857,17.244940310803386,83.05500393784064,7.557928325365013
20,classification-squeezenet1_1-pretrained-0.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,98.21428571428571,13.13192977232416,90.23032861316531,5.75532197874735
21,classification-squeezenet1_1-pretrained-1.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,22.68267417809486,85.96562273081237,9.941120269245058
22,classification-squeezenet1_1-pretrained-2.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,98.21428571428571,13.13192977232416,90.23032861316531,5.75532197874735
23,classification-squeezenet1_1-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,24.01943889859748,80.8145810641457,10.52698323909866
24,classification-vgg11_bn-pretrained-0.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,96.875,59.210526315789465,97.91666666666666,97.5,93.75,55.88235294117647,73.21428571428571,97.5,97.5,78.57142857142857,13.408776695748678,90.61547930805867,5.876655492614575
25,classification-vgg11_bn-pretrained-1.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,62.5,96.875,59.210526315789465,97.91666666666666,97.5,97.91666666666666,92.64705882352942,98.21428571428571,97.5,97.5,78.57142857142857,11.91324957180802,92.11517293550965,5.221211831594666
